Name,Всего проектов,Дата рождения,Дата смерти,Знак зодиака,Карьера,Место рождения,Место смерти,Рост,Сыгранные/озвученные персонажи,Фильмография
Джонни Депп,100,09/06/1963,,Близнецы,"Актёр, Музыкант, Продюсер","Оуэнсборо, Кентукки, США",-,1.78,"Капитан Джек Воробей (https://www.notion.so/298c10ae8c7580b9a6fdeb40ea578a0f?pvs=21), Безумный Шляпник (https://www.notion.so/298c10ae8c758063aa73ce45c9cba068?pvs=21)","Пираты Карибского моря: Проклятие Чёрной жемчужины (https://www.notion.so/296c10ae8c75804b9524e0f992ebcd89?pvs=21), Пираты Карибского моря: Сундук мертвеца (https://www.notion.so/298c10ae8c758045860dddf053e00437?pvs=21), Пираты Карибского моря: На краю света (https://www.notion.so/298c10ae8c758075a489f4d36badedbd?pvs=21), Пираты Карибского моря: На странных берегах (https://www.notion.so/298c10ae8c758063be9bcbf93325047b?pvs=21), Пираты Карибского моря: Мертвецы не рассказывают сказки (https://www.notion.so/298c10ae8c758057be81e9859298a758?pvs=21), Алиса в стране чудес (https://www.notion.so/296c10ae8c7580c28f61d44ad30f584f?pvs=21)"
Билл Найи,150,12/12/1949,,Стрелец,Актёр,"Катерхэм, Суррей, Англия, Великобритания",-,1.88,Дэйви Джонс (https://www.notion.so/298c10ae8c7580468114c01243445ad7?pvs=21),"Пираты Карибского моря: Сундук мертвеца (https://www.notion.so/298c10ae8c758045860dddf053e00437?pvs=21), Пираты Карибского моря: На краю света (https://www.notion.so/298c10ae8c758075a489f4d36badedbd?pvs=21)"
Иэн Макшейн,130,29/09/1942,,Весы,"Актёр, Продюсер","Блэкберн, Ланкашир, Англия, Великобритания",-,1.71,Чёрная Борода  (https://www.notion.so/298c10ae8c7580338091c88e31c9d1ed?pvs=21),Пираты Карибского моря: На странных берегах (https://www.notion.so/298c10ae8c758063be9bcbf93325047b?pvs=21)
Пенелопа Крус,80,28/04/1974,,Телец,Актриса,"Алькобендас, Мадрид, Испания",-,1.68,Анжелика (https://www.notion.so/298c10ae8c7580d288bfe06a7e398a76?pvs=21),"Пираты Карибского моря: На странных берегах (https://www.notion.so/298c10ae8c758063be9bcbf93325047b?pvs=21), Пираты Карибского моря: Мертвецы не рассказывают сказки (https://www.notion.so/298c10ae8c758057be81e9859298a758?pvs=21)"
Хавьер Бардем,70,01/03/1969,,Рыбы,Актёр,"Лас-Пальмас-де-Гран-Канария, Канарские острова, Испания",-,1.81,"Капитан Армандо Салазар  (https://www.notion.so/298c10ae8c7580c28211e6062ad90350?pvs=21), Царь Тритон (https://www.notion.so/298c10ae8c75803f8fd0fcad2c9e1581?pvs=21)","Пираты Карибского моря: Мертвецы не рассказывают сказки (https://www.notion.so/298c10ae8c758057be81e9859298a758?pvs=21), Русалочка: история Ариэль (https://www.notion.so/296c10ae8c7580f7ad2ef5ae08576fff?pvs=21)"
Холли Бейли,15,27/03/2000,,Овен,"Актриса, Певица","Атланта, Джорджия, США",-,1.57,Русалочка Ариэль (https://www.notion.so/298c10ae8c7580f1bd19c19982d1232c?pvs=21),Русалочка: история Ариэль (https://www.notion.so/296c10ae8c7580f7ad2ef5ae08576fff?pvs=21)
Джона Хауэр-Кинг,20,30/05/1995,,Близнецы,Актёр,"Лондон, Англия, Великобритания",-,1.88,Принц Эрик (https://www.notion.so/298c10ae8c75805fa9a0d5a05caf727f?pvs=21),Русалочка: история Ариэль (https://www.notion.so/296c10ae8c7580f7ad2ef5ae08576fff?pvs=21)
Мелисса Маккарти,80,26/08/1970,,Дева,"Актриса, Комик, Продюсер, Сценарист","Плейнфилд, Иллинойс, США",-,1.57,Ведьма Урсула (https://www.notion.so/298c10ae8c75803f8acee68af4f0c4ec?pvs=21),Русалочка: история Ариэль (https://www.notion.so/296c10ae8c7580f7ad2ef5ae08576fff?pvs=21)
Эмма Стоун,60,06/11/1988,,Скорпион,"Актриса, Продюсер","Скоттсдейл, Аризона, США",-,1.68,Круэлла / Эстелла (https://www.notion.so/298c10ae8c7580a78b50fe66696fa517?pvs=21),Круэлла (https://www.notion.so/296c10ae8c758054a5d8d3e3db093c3e?pvs=21)
Эмма Томпсон,100,15/04/1959,,Овен,"Актриса, Сценарист","Паддингтон, Лондон, Англия, Великобритания",-,1.73,"Баронесса фон Хеллман (https://www.notion.so/298c10ae8c7580cca522f4db37d427f0?pvs=21), Памела «П. Л.» Трэверс  (https://www.notion.so/298c10ae8c7580cb9140cd3b674fb1fc?pvs=21)","Круэлла (https://www.notion.so/296c10ae8c758054a5d8d3e3db093c3e?pvs=21), Спасти мистера Бэнкса (https://www.notion.so/296c10ae8c7580248a02dd084c5df0bf?pvs=21)"
