Name,Всего проектов,Дата рождения,Дата смерти,Знак зодиака,Карьера,Место рождения,Место смерти,Рост,Сыгранные/озвученные персонажи,Фильмография
Адриана Казелотти,5,06/05/1916,19/06/1997,Телец,"Актриса, Войс-актриса, Певица","Бриджпорт, Коннектикут, США","Лос-Анджелес, Калифорния, США",1.63,Белоснежка (https://www.notion.so/296c10ae8c7580d28e85d38725007365?pvs=21),Белоснежка и семь гномов (https://www.notion.so/294c10ae8c7580e9a813f0ec0648a627?pvs=21)
Люсиль Ла Верн,70,07/11/1872,04/03/1945,Скорпион,"Актриса, Войс-актриса","Нэшвилл, Теннесси, США","Калвер-Сити, Калифорния, США",1.68,Злая королева Гримхильда (https://www.notion.so/296c10ae8c7580f18841e02386bbe04b?pvs=21),Белоснежка и семь гномов (https://www.notion.so/294c10ae8c7580e9a813f0ec0648a627?pvs=21)
Мэттью Бродерик,85,21/03/1962,,Овен,"Актёр, Войс-актер, Певец","Нью-Йорк, США",-,1.73," Симба (https://www.notion.so/296c10ae8c7580d6ba85e9ee2df2d38f?pvs=21)",Король лев (https://www.notion.so/294c10ae8c75809b8e6cdddddddb733c?pvs=21)
Джереми Айронс,120,19/09/1948,,Дева,"Актёр, Войс-актер, Продюсер","Каус, остров Уайт, Англия, Великобритания",-,1.87," Шрам (https://www.notion.so/296c10ae8c7580fab635ded8cbb8a0fe?pvs=21)",Король лев (https://www.notion.so/294c10ae8c75809b8e6cdddddddb733c?pvs=21)
Нейтан Лейн,100,03/02/1956,,Водолей,"Актёр, Войс-актер, Певец","Джерси-Сити, Нью-Джерси, США",-,1.65," Тимон и Пумба (https://www.notion.so/296c10ae8c758093a58ff0433c009907?pvs=21)",Король лев (https://www.notion.so/294c10ae8c75809b8e6cdddddddb733c?pvs=21)
Эрни Сабелла,70,19/09/1949,,Дева,"Актёр, Войс-актер","Уэстчестер, Нью-Йорк, США",-,1.7," Тимон и Пумба (https://www.notion.so/296c10ae8c758093a58ff0433c009907?pvs=21)",Король лев (https://www.notion.so/294c10ae8c75809b8e6cdddddddb733c?pvs=21)
Мойра Келли,50,06/03/1968,,Рыбы,"Актриса, Войс-актриса","Куинс, Нью-Йорк, США",-,1.63,Нала (https://www.notion.so/296c10ae8c7580ad83f2f84dcd1504bb?pvs=21),Король лев (https://www.notion.so/294c10ae8c75809b8e6cdddddddb733c?pvs=21)
Дики Джонс,90,25/02/1927,07/07/2014,Рыбы,"Актёр, Войс-актер","Снайдер, Техас, США","Нортридж, Калифорния, США",1.68,Пиноккио (https://www.notion.so/296c10ae8c7580a7af68eda895e16d88?pvs=21),Пиноккио (https://www.notion.so/294c10ae8c758015a2f4fab2ee472c14?pvs=21)
Клифф Эдвардс,100,14/06/1895,17/07/1971,Близнецы,"Войс-актер, Музыкант, Певец","Хэннибал, Миссури, США","Голливуд, Калифорния, США",1.71,Сверчок Джимини (https://www.notion.so/296c10ae8c7580d0a385c40a6827c72f?pvs=21),"Пиноккио (https://www.notion.so/294c10ae8c758015a2f4fab2ee472c14?pvs=21), Дамбо (https://www.notion.so/294c10ae8c7580aeb4dbef5ba0a08d2b?pvs=21)"
Джоди Бенсон,110,10/10/1961,,Весы,"Актриса, Войс-актриса, Певица","Рокфорд, Иллинойс, США",-,1.68,Ариэль (https://www.notion.so/296c10ae8c75809fa744d0f8bfed29a9?pvs=21),"Русалочка (https://www.notion.so/294c10ae8c7580a8bf16e8e519568b29?pvs=21), История игрушек 2 (https://www.notion.so/2-296c10ae8c758025b37cc48f40d6bc95?pvs=21), История игрушек 3 (https://www.notion.so/3-298c10ae8c75806a83bdd3068afbdc00?pvs=21)"
Пэт Кэрролл,100,05/05/1927,30/07/2022,Телец,"Актриса, Войс-актриса","Шривпорт, Луизиана, США","Кейп-Код, Массачусетс, США",1.57,Урсула (https://www.notion.so/296c10ae8c75806b8f48fd5150526b69?pvs=21),Русалочка (https://www.notion.so/294c10ae8c7580a8bf16e8e519568b29?pvs=21)
Джейсон Марин,15,25/07/1974,,Лев,"Актёр, Войс-актер","Бруклин, Нью-Йорк, США",-,1.7,Флаундер (https://www.notion.so/296c10ae8c75808f87bed303552e4641?pvs=21),Русалочка (https://www.notion.so/294c10ae8c7580a8bf16e8e519568b29?pvs=21)
Сэмюэл Э. Райт,30,20/11/1946,24/05/2021,Скорпион,"Актёр, Войс-актер, Певец","Камден, Южная Каролина, США","Уолден, Нью-Йорк, США",1.75,Себастьян (https://www.notion.so/296c10ae8c758026855cd80505bb78d5?pvs=21),Русалочка (https://www.notion.so/294c10ae8c7580a8bf16e8e519568b29?pvs=21)
Пейдж О'Хара,35,10/05/1956,,Телец,"Актриса, Войс-актриса, Певица","Форт-Лодердейл, Флорида, США",-,1.63,Белль (https://www.notion.so/296c10ae8c7580c08cc8eea1a8f01634?pvs=21),Красавица и чудовище (https://www.notion.so/294c10ae8c7580c48c38f4efab00f2cd?pvs=21)
Робби Бенсон,110,21/01/1956,,Водолей,"Актёр, Войс-актер, Певец, Режиссёр","Даллас, Техас, США",-,1.75,Чудовище / Принц Адам (https://www.notion.so/296c10ae8c7580e58462d8b3af0d9bb0?pvs=21),Красавица и чудовище (https://www.notion.so/294c10ae8c7580c48c38f4efab00f2cd?pvs=21)
Ричард Уайт,15,04/08/1953,,Лев,"Актёр, Войс-актер, Певец","Оук-Ридж, Теннесси, США",-,1.88,Гастон (https://www.notion.so/296c10ae8c7580e98928f196563433d1?pvs=21),Красавица и чудовище (https://www.notion.so/294c10ae8c7580c48c38f4efab00f2cd?pvs=21)
Бобби Дрисколл,50,03/03/1937,30/03/1968,Рыбы,"Актёр, Войс-актер","Сидар-Рапидс, Айова, США","Нью-Йорк, США",1.75,Питер Пэн (https://www.notion.so/296c10ae8c75800381aed471b4c65e75?pvs=21),Питер Пэн (https://www.notion.so/294c10ae8c75801e9778efd520456161?pvs=21)
Ганс Конрид,250,15/04/1917,05/01/1982,Овен,"Актёр, Войс-актер","Балтимор, Мэриленд, США","Бербанк, Калифорния, США",1.89,Капитан Крюк (https://www.notion.so/296c10ae8c7580c29695c221a768f158?pvs=21),Питер Пэн (https://www.notion.so/294c10ae8c75801e9778efd520456161?pvs=21)
Маргарет Керри,40,15/05/1929,,Телец,"Актёр, Войс-актер, Живая модель, Радиоведущая, Танцовщица","Лос-Анджелес, Калифорния, США.",-,1.57,Динь-Динь (https://www.notion.so/296c10ae8c7580e38a6ff2871ea83789?pvs=21),Питер Пэн (https://www.notion.so/294c10ae8c75801e9778efd520456161?pvs=21)
Мэри Коста,25,05/04/1930,,Овен,"Актриса, Войс-актриса, Певица","Ноксвилл, Теннесси, США",-,1.65,Аврора (https://www.notion.so/296c10ae8c758029a6c4e9bc9c1792d2?pvs=21),Спящая красавица (https://www.notion.so/294c10ae8c7580b5a973f3461d1e41e3?pvs=21)
Элинор Одли,80,19/11/1905,25/11/1991,Скорпион,"Актриса, Войс-актриса, Живая модель","Нью-Йорк, США","Северный Голливуд, Калифорния, США",1.7,"Малефисента (https://www.notion.so/296c10ae8c7580a499dfc945a25fb205?pvs=21), Леди Тремейн (https://www.notion.so/296c10ae8c7580d6b6bacb83057aa788?pvs=21)","Спящая красавица (https://www.notion.so/294c10ae8c7580b5a973f3461d1e41e3?pvs=21), Золушка (https://www.notion.so/296c10ae8c7580d48560dc17aad7ce22?pvs=21)"
Скотт Уайнгер,50,05/10/1975,,Весы,"Актёр, Войс-актер, Продюсер, Сценарист","Нью-Йорк, США",-,1.75,Аладдин (https://www.notion.so/296c10ae8c7580f1b445c5f7f15069d6?pvs=21),Аладдин (https://www.notion.so/296c10ae8c75802bbcb5f7e3819019da?pvs=21)
Робин Уильямс,110,21/07/1951,11/08/2014,Рак,"Актёр, Войс-актер, Комик, Продюсер","Чикаго, Иллинойс, США","Парадайс-Кей, Калифорния, США",1.7,Джинн (https://www.notion.so/296c10ae8c75801386cade116506e01b?pvs=21),Аладдин (https://www.notion.so/296c10ae8c75802bbcb5f7e3819019da?pvs=21)
Фрэнк Уэлкер,900,12/03/1946,,Рыбы,Войс-актер,"Денвер, Колорадо, США",-,1.73,Абу (https://www.notion.so/296c10ae8c7580a7bf4eeb38eca6deee?pvs=21),Аладдин (https://www.notion.so/296c10ae8c75802bbcb5f7e3819019da?pvs=21)
Линда Ларкин,30,20/03/1970,,Рыбы,"Актриса, Войс-актриса","Лос-Анджелес, Калифорния, США",-,1.6,Жасмин (https://www.notion.so/296c10ae8c75809ca847d0fb4c54a085?pvs=21),Аладдин (https://www.notion.so/296c10ae8c75802bbcb5f7e3819019da?pvs=21)
Джонатан Фриман,50,05/02/1950,,Водолей,"Актёр, Войс-актер, Певец","Кливленд, Огайо, США",-,1.75,Джафар (https://www.notion.so/296c10ae8c758083a447cc7e480a3cc0?pvs=21),Аладдин (https://www.notion.so/296c10ae8c75802bbcb5f7e3819019da?pvs=21)
Том Хэнкс,100,09/07/1956,,Рак,"Актёр, Войс-актер, Продюсер, Режиссёр, Сценарист","Конкорд, Калифорния, США",-,1.83,"Вудди (https://www.notion.so/296c10ae8c758045aa57dc094b4c352d?pvs=21), Уолт Дисней (https://www.notion.so/298c10ae8c75803491e8d0b6464ef78f?pvs=21)","История игрушек  (https://www.notion.so/298c10ae8c7580f598c7e6b14a8d33da?pvs=21), История игрушек 2 (https://www.notion.so/2-296c10ae8c758025b37cc48f40d6bc95?pvs=21), История игрушек 3 (https://www.notion.so/3-298c10ae8c75806a83bdd3068afbdc00?pvs=21), История игрушек 4 (https://www.notion.so/4-298c10ae8c758022ad7ad981f8bee42e?pvs=21), Спасти мистера Бэнкса (https://www.notion.so/296c10ae8c7580248a02dd084c5df0bf?pvs=21)"
Тим Аллен,50,13/06/1953,,Близнецы,"Актёр, Войс-актер, Комик","Денвер, Колорадо, США",-,1.79,Базз Лайтер (https://www.notion.so/296c10ae8c7580cd8d02d6845ff9affa?pvs=21),"История игрушек  (https://www.notion.so/298c10ae8c7580f598c7e6b14a8d33da?pvs=21), История игрушек 2 (https://www.notion.so/2-296c10ae8c758025b37cc48f40d6bc95?pvs=21), История игрушек 3 (https://www.notion.so/3-298c10ae8c75806a83bdd3068afbdc00?pvs=21), История игрушек 4 (https://www.notion.so/4-298c10ae8c758022ad7ad981f8bee42e?pvs=21)"
Джоан Кьюсак,80,11/10/1962,,Весы,"Актриса, Войс-актриса, Сценарист","Нью-Йорк, США",-,1.75,Джесси (https://www.notion.so/298c10ae8c7580e49c05ca40a9867069?pvs=21),"История игрушек 2 (https://www.notion.so/2-296c10ae8c758025b37cc48f40d6bc95?pvs=21), История игрушек 3 (https://www.notion.so/3-298c10ae8c75806a83bdd3068afbdc00?pvs=21), История игрушек 4 (https://www.notion.so/4-298c10ae8c758022ad7ad981f8bee42e?pvs=21)"
Келси Грэммер,150,21/02/1955,,Рыбы,"Актёр, Войс-актер, Комик, Продюсер","Сент-Томас, Американские Виргинские острова",-,1.85,Старатель Вонючка Пит (https://www.notion.so/298c10ae8c7580429fc6cb2a220867b1?pvs=21),История игрушек 2 (https://www.notion.so/2-296c10ae8c758025b37cc48f40d6bc95?pvs=21)
Нед Битти,160,06/07/1937,13/06/2021,Рак,"Актёр, Войс-актер","Луисвилл, Кентукки, США","Лос-Анджелес, Калифорния, США",1.7,Лотсо (Мишка-Обнимашка) (https://www.notion.so/298c10ae8c758048ba38c6c6d0c554f4?pvs=21),История игрушек 3 (https://www.notion.so/3-298c10ae8c75806a83bdd3068afbdc00?pvs=21)
Кристина Хендрикс,60,03/05/1975,,Телец,"Актриса, Войс-актриса","Ноксвилл, Теннесси, США",-,1.71,Габби Габби (https://www.notion.so/298c10ae8c75800389d9c756b2275586?pvs=21),История игрушек 4 (https://www.notion.so/4-298c10ae8c758022ad7ad981f8bee42e?pvs=21)
" Идина Мензел",50,30/05/1971,,Близнецы,"Актриса, Войс-актриса, Певица","Манхэттен, Нью-Йорк, США",-,1.63,Эльза (https://www.notion.so/296c10ae8c758025a1b8de3f09ad74ab?pvs=21),Холодное сердце (https://www.notion.so/296c10ae8c7580a8b709c9c915b5c0b9?pvs=21)
Кристен Белл,100,18/07/1980,,Рак,"Актриса, Войс-актриса, Певица","Хантингтон-Вудс, Мичиган, США",-,1.55,Анна (https://www.notion.so/296c10ae8c7580f18546c570b77acbd8?pvs=21),Холодное сердце (https://www.notion.so/296c10ae8c7580a8b709c9c915b5c0b9?pvs=21)
Джош Гэд,80,23/02/1981,,Рыбы,"Актёр, Войс-актер, Комик, Певец","Холливуд, Флорида, США",-,1.68,"Олаф (https://www.notion.so/296c10ae8c758020bbfcfb6f944726d0?pvs=21), ЛеФу (https://www.notion.so/298c10ae8c75804ab81ad4bf71e2aadf?pvs=21)","Холодное сердце (https://www.notion.so/296c10ae8c7580a8b709c9c915b5c0b9?pvs=21), Красавица и чудовище: Пробуждение чувств (https://www.notion.so/296c10ae8c758041bfb3d4232f2c69f9?pvs=21)"
Бетти Лу Герсон,100,20/04/1914,12/01/1999,Овен,"Актриса, Войс-актриса","Чаттануга, Теннесси, США","Лос-Анджелес, Калифорния, США",1.65,Круэлла Де Виль (https://www.notion.so/296c10ae8c7580ddb30ad245cd0043c0?pvs=21),"101 далматинец (https://www.notion.so/101-296c10ae8c758089b921d89a333bdff7?pvs=21), Золушка (https://www.notion.so/296c10ae8c7580d48560dc17aad7ce22?pvs=21)"
Род Тейлор,90,11/01/1930,07/01/2015,Козерог,"Актёр, Войс-актер","Сидней, Австралия","Лос-Анджелес, Калифорния, США",1.79,Понго (https://www.notion.so/296c10ae8c758091aae4e9b0be797f2c?pvs=21),101 далматинец (https://www.notion.so/101-296c10ae8c758089b921d89a333bdff7?pvs=21)
Кейт Бауэр,5,27/08/1922,,Дева,"Актриса, Войс-актриса","Лондон, Англия",-,1.61,Пэдди  (https://www.notion.so/296c10ae8c7580a5a16ec8fee3027984?pvs=21),101 далматинец (https://www.notion.so/101-296c10ae8c758089b921d89a333bdff7?pvs=21)
Брюс Райтерман,20,15/09/1955,,Дева,"Актёр, Войс-актер, Оператор, Продюсер, Режиссёр","Бербанк, Калифорния, США",-,1.71,Маугли (https://www.notion.so/296c10ae8c7580c7a927f8d56bb6e77b?pvs=21),"Книга джунглей (https://www.notion.so/296c10ae8c75800eb797f1a58a420a3e?pvs=21), Приключения Винни-Пуха (https://www.notion.so/294c10ae8c758053b236f10bbff20940?pvs=21)"
Фил Харрис,60,24/06/1904,11/08/1995,Рыбы,"Актёр, Войс-актер, Комик, Музыкант, Певец","Линтон, Индиана, США","Ранчо-Мираж, Калифорния, США",1.8,Балу (https://www.notion.so/296c10ae8c75808c805ce4be744922be?pvs=21),Книга джунглей (https://www.notion.so/296c10ae8c75800eb797f1a58a420a3e?pvs=21)
Себастьян Кэбот,100,06/07/1918,22/08/1977,Рак,"Актёр, Войс-актер","Лондон, Англия","Норт-Сонич, Британская Колумбия, Канада",1.75,Багира (https://www.notion.so/296c10ae8c7580faae5cc32faf56e316?pvs=21),"Книга джунглей (https://www.notion.so/296c10ae8c75800eb797f1a58a420a3e?pvs=21), Приключения Винни-Пуха (https://www.notion.so/294c10ae8c758053b236f10bbff20940?pvs=21)"
Джордж Сандерс,120,03/07/1906,25/04/1972,Рак,"Актёр, Войс-актер, Певец","Санкт-Петербург, Российская империя","Кастельдефельс, Испания",1.83,Шер-Хан (https://www.notion.so/296c10ae8c7580a68fedd504b77f0275?pvs=21),Книга джунглей (https://www.notion.so/296c10ae8c75800eb797f1a58a420a3e?pvs=21)
Айлин Вудс,15,05/05/1929,01/07/2010,Телец,"Актриса, Войс-актриса, Певица","Портсмут, Нью-Гэмпшир, США","Канога-Парк, Калифорния, США",1.63,Золушка (https://www.notion.so/296c10ae8c758016b792ec427f7a36c6?pvs=21),Золушка (https://www.notion.so/296c10ae8c7580d48560dc17aad7ce22?pvs=21)
Барбара Ладди,30,25/05/1908,01/04/1979,Близнецы,"Актриса, Войс-актриса","Грейт-Фолс, Монтана, США","Лос-Анджелес, Калифорния, США",1.57,Леди (https://www.notion.so/296c10ae8c7580c481b1c08a410caf05?pvs=21),"Леди и бродяга (https://www.notion.so/294c10ae8c7580db9d71de307ecfb2a5?pvs=21), Приключения Винни-Пуха (https://www.notion.so/294c10ae8c758053b236f10bbff20940?pvs=21), Спящая красавица (https://www.notion.so/294c10ae8c7580b5a973f3461d1e41e3?pvs=21)"
